country,year,population,gdp_per_capita_usd,gdp_growth_pct,unemployment_pct,labor_force_total
Portugal,1996,10063945,12185.0914010629,3.50424653058748,7.298,4863514
Portugal,1997,10108977,11575.5071124358,4.40086766458026,6.571,4958056
Portugal,1998,10160196,12199.206385024,4.80796318953165,4.64,5119669
Portugal,1999,10217828,12475.2917701476,3.90657779623113,4.579,5168078
Portugal,2000,10289898,11526.3720667968,3.81617714108242,3.806,5230882
Portugal,2001,10362722,11734.7649743954,1.94367213427915,3.829,5335182
Portugal,2002,10419631,12936.6928204482,0.770924781247714,4.497,5418600
Portugal,2003,10458821,15797.7821340276,-0.930521045062918,6.132,5439706
Portugal,2004,10483861,18064.1580932987,1.78873552917291,6.319,5415609
Portugal,2005,10503330,18780.12751241,0.781847569123585,7.582,5461291
Portugal,2006,10522288,19839.4540499032,1.62503532956156,7.649,5497103
Portugal,2007,10542964,22811.0564844365,2.50657937751231,7.965,5529578
Portugal,2008,10558177,24949.0413566739,0.319247344434558,7.553,5531613
Portugal,2009,10568247,23151.2154130712,-3.12207827545093,9.432,5483627
Portugal,2010,10573100,22551.935098809,1.73762453640036,10.771,5488106
Portugal,2011,10557560,23246.5425416481,-1.71352745905065,12.715,5423705
Portugal,2012,10514844,20593.4274224109,-4.05090267621935,15.509,5377544
Portugal,2013,10457295,21676.4859642714,-0.984106574148328,16.237,5281205
Portugal,2014,10401062,22120.6850127107,0.741391420706506,13.88,5223582
Portugal,2015,10358076,19215.7813014347,1.58979803702681,12.405,5197927
Portugal,2016,10325452,19980.2808866516,2.00414129666575,11.058,5182106
Portugal,2017,10300300,21442.3842768879,3.31472008175986,8.878,5221693
Portugal,2018,10283822,23541.1401075289,2.94628343449202,6.966,5230976
Portugal,2019,10286263,23343.3628970034,2.74568432648596,6.422,5245523
Portugal,2020,10297081,22299.4044062173,-8.20463159324387,6.85,5138884
Portugal,2021,10361831,24711.4510062111,5.55875672070374,6.712,5114630
Portugal,2022,10434332,24620.5197587181,6.98584137580278,6.138,5245513
Portugal,2023,10578174,27634.6183139773,3.09997909018263,6.498,5395411
Portugal,2024,10694681,29292.242104753,2.13967177177636,6.5,5450166
Spain,1996,39889852,16100.6215831114,2.60741117110229,22.142,16869991
Spain,1997,40057389,14722.3717633536,3.58729972356299,20.698,17194770
Spain,1998,40223509,15382.3348573373,4.30197745333581,18.673,17451500
Spain,1999,40386875,15707.9473068138,4.40886545305924,15.475,17764327
Spain,2000,40567864,14743.2671031455,5.20064125553942,13.785,18277062
Spain,2001,40850412,15368.2337984435,3.91908880808811,10.348,18160478
Spain,2002,41431558,17111.0685058941,2.75545611564098,11.146,18992358
Spain,2003,42187645,21522.0170990262,2.9392895953076,11.283,19763085
Spain,2004,42921895,24925.0267844576,3.1145314799161,11.09,20447306
Spain,2005,43653155,26450.9530130382,3.5512255846125,9.146,21228524
Spain,2006,44397319,28421.686527407,4.04343515605099,8.452,21942920
Spain,2007,45226803,32652.015594702,3.53350013165972,8.232,22532489
Spain,2008,45954106,35603.248328071,0.767165748290694,11.254,23164314
Spain,2009,46362946,32279.8208476151,-3.76813306940053,17.857,23401615
Spain,2010,46576897,30658.7422282912,0.0941223116369514,19.86,23521339
Spain,2011,46742697,31824.6219134777,-0.639920636520344,21.39,23587175
Spain,2012,46773055,28456.4438151477,-2.86511368637748,24.789,23600235
Spain,2013,46604197,29228.846559842,-1.42732224757626,26.094,23404018
Spain,2014,46460733,29707.765509467,1.52048593647231,24.441,23180626
Spain,2015,46422303,25982.4416197775,4.06086672473866,22.057,23132898
Spain,2016,46458139,26755.6061149398,2.91515598595787,19.635,23054343
Spain,2017,46571232,28381.3425596906,2.89604207865007,17.224,23026725
Spain,2018,46782011,30602.4212881113,2.39541124478878,15.255,23008131
Spain,2019,47118501,29786.5245689007,1.96117850841711,14.104,23229297
Spain,2020,47359424,27233.9426461608,-10.9400706350371,15.532,22918332
Spain,2021,47443821,30799.4775937775,6.68314420473001,14.914,23392854
Spain,2022,47786102,30319.4987196616,6.37031712129601,13.033,23770575
Spain,2023,48352528,33493.2225409111,2.46085796805582,12.179,24153349
Spain,2024,48848840,35326.7683069278,3.45525405630191,11.4,24604513
